,SMAPE,MASE,OWA,MAE,RMSE
D1029,37.00061011301157,34.928130380595654,9.485941855230196,488.31445242745536,497.3477227249672
D1030,1.3991764001707114,1.0149794425711935,1.556852521485553,19.740934012276803,24.276628406336
D1031,3.8155063585095568,3.8894896625199777,5.086187876111419,55.60113978794641,59.13820810610228
D1032,48.141558616988455,31.311853365100458,16.797119950879818,662.4107952008928,663.4052207147845
D1033,1.920548478257102,1.521048167910148,2.4435447929939738,31.20168701171875,35.47346479078418
D1034,4.703367461897531,3.872215037967453,6.152316521869567,77.59315638950889,81.29696974144159
D1035,5.328459416646645,3.966324963399304,6.258499137085505,84.99162772042412,87.88584356626514
D1036,3.1864434556303376,2.7875791878080034,3.8137560096002847,58.30316162109375,63.31127137150212
D1037,11.964338296477644,7.348422852506895,6.14649740834178,143.75853097098218,151.21528730654234
D1038,11.14734532221352,7.742337352452261,8.005221846970883,155.99117815290177,158.33612657024264
D1039,29.39331595643698,32.74570327283907,35.767517329944056,427.91479073660713,428.6192926276965
D1040,18.026465191562146,12.289442760507312,19.264193238386085,260.73115827287944,262.06610508318084
D1041,1.981512940762027,2.1932477958358545,2.569629489472285,29.85176164899552,36.90233804702848
D1042,9.098267121061168,5.85773475494716,6.309670357201604,120.34913783482143,124.04947360697724
D1043,56.3267430825811,33.33208890083032,23.98951860289984,622.770299595424,624.556820864072
D1044,11.14307115534456,7.884553979697449,11.975982392755911,114.53988577706475,115.84991740787468
D1045,2.002036272780487,2.114654221429322,1.9248492730481443,35.37856026785713,42.02119659140441
D1046,1.1079377344122547,0.8931742125255481,1.428561190708447,17.877002999441952,23.196573725803688
D1047,77.53546954583169,49.86769013544491,65.85808570650474,885.7114969308037,885.8088845161116
D1048,11.259991663457708,7.433619156214314,4.233211492694206,143.7750216238839,147.66498156319037
D1049,1.7376272833368909,1.4652958330376509,2.183911914047854,29.21001883370536,34.45566127875808
D1050,21.90719496426581,19.211198371934405,26.14957450871274,365.54087437220994,366.7742584937478
D1051,13.446487875201324,8.983073089286254,2.4966600093020994,172.463388671875,205.0109439843621
D1052,5.315075696958905,10.851269869127789,23.625267210923347,74.62406494140625,74.82156562753039
D1053,4.16628412602699,11.33952410054165,19.277455427604444,530.6727818080359,533.3961616154953
D1054,8.621864418023252,11.066224367309188,6.899128895981984,113.4730646623884,114.878264147594
